#Material,IP1,EA1,homo1,lumo1,IP2,EA2,homo2,lumo2,r_s1,r_p1,r_d1,atomicRadius1,r_val1,r_cov1,r_s2,r_p2,r_d2,atomicRadius2,r_val2,r_cov2,Z1,Z2,electronegativity1,electronegativity2,polarizability1,polarizability2,polariz_new1,polariz_new2,column1,Nunfilled1,valence1,column_up181,column2,Nunfilled2,valence2,column_up182,Odd,Occ1,Occ2,orb1,orb2,Gap
Mg-Cs,-7.9325,1.5388,-4.7054,-1.0945,-3.8463,-0.5091,-2.0859,-0.2279,1.3518,1.6131,1.9324,1.3,1.3518,1.41,2.5357,2.7555,1.8065,2.25,2.5357,2.44,12,55,1.31,0.79,10.767,59.42,70.89,399.9,2,0,2,2,1,1,1,1,-1,2,1,1,0.5,0
Mg-Ga,-7.9325,1.5388,-4.7054,-1.0945,-5.6321,0.1264,-2.5791,3.273,1.3518,1.6131,1.9324,1.3,1.3518,1.41,1.0027,1.344,0.2823,1.26,1.344,1.22,12,31,1.31,1.81,10.767,8.12,70.89,51.4,2,0,2,2,3,5,13,13,-1,2,1,1,0.16666667,0
Mg-In,-7.9325,1.5388,-4.7054,-1.0945,-5.3158,-0.0113,-2.5181,2.6968,1.3518,1.6131,1.9324,1.3,1.3518,1.41,1.1407,1.5133,0.4929,1.44,1.5133,1.42,12,49,1.31,1.78,10.767,9.65,70.89,62,2,0,2,2,3,5,13,13,-1,2,1,1,0.16666667,0
Mg-Rb,-7.9325,1.5388,-4.7054,-1.0945,-4.1437,-0.4859,-2.2313,-0.1321,1.3518,1.6131,1.9324,1.3,1.3518,1.41,2.3142,2.517,1.9965,2.11,2.3142,2.2,12,37,1.31,0.82,10.767,47.27,70.89,318.8,2,0,2,2,1,1,1,1,-1,2,1,1,0.5,0
Mg-Tl,-7.9325,1.5388,-4.7054,-1.0945,-5.1215,0.0916,-2.3692,2.6329,1.3518,1.6131,1.9324,1.3,1.3518,1.41,1.0974,1.5446,0.5904,1.48,1.5446,1.45,12,81,1.31,2.04,10.767,7.55,70.89,51.6,2,0,2,2,3,5,27,13,-1,2,1,1,0.16666667,0
Na-Ba,-5.1426,-0.6355,-0.2186,0.9747,-5.3475,1.0568,-3.2293,-1.9206,1.7586,2.2172,8.6288,1.54,1.7586,1.66,2.1967,2.3694,1.2663,1.98,2.1967,2.15,11,56,0.93,0.89,24.11,39.7,162.7,272.7,1,1,1,1,2,0,2,2,-1,1,2,0.5,1,0
Na-Ca,-5.1426,-0.6355,-0.2186,0.9747,-6.2818,1.2046,-3.7676,-1.9349,1.7586,2.2172,8.6288,1.54,1.7586,1.66,1.7988,2.0269,0.695,1.74,1.7988,1.76,11,20,0.93,1,24.11,25.733,162.7,160.77,1,1,1,1,2,0,2,2,-1,1,2,0.5,1,0
Na-Ge,-5.1426,-0.6355,-0.2186,0.9747,-7.3928,-0.7121,-3.8948,3.4236,1.7586,2.2172,8.6288,1.54,1.7586,1.66,0.922,1.1721,0.2666,1.22,1.1721,1.2,11,32,0.93,2.01,24.11,5.84,162.7,39.43,1,1,1,1,4,4,14,14,-1,1,2,0.5,0.33333333,0
Na-Mg,-5.1426,-0.6355,-0.2186,0.9747,-7.9325,1.5388,-4.7054,-1.0945,1.7586,2.2172,8.6288,1.54,1.7586,1.66,1.3518,1.6131,1.9324,1.3,1.3518,1.41,11,12,0.93,1.31,24.11,10.767,162.7,70.89,1,1,1,1,2,0,2,2,-1,1,2,0.5,1,0
Na-Pb,-5.1426,-0.6355,-0.2186,0.9747,-6.54,-0.7047,-3.496,2.5655,1.7586,2.2172,8.6288,1.54,1.7586,1.66,1.0396,1.4049,0.5676,1.47,1.4049,1.46,11,82,0.93,2.33,24.11,6.995,162.7,47.71,1,1,1,1,4,4,28,14,-1,1,2,0.5,0.33333333,0
Na-Se,-5.1426,-0.6355,-0.2186,0.9747,-10.7939,-2.5344,-6.5105,4.7429,1.7586,2.2172,8.6288,1.54,1.7586,1.66,0.7997,0.9578,0.2397,1.16,0.9578,1.2,11,34,0.93,2.55,24.11,3.77,162.7,26.24,1,1,1,1,6,2,16,16,-1,1,4,0.5,0.66666667,0
